tempo,temp,pressao,altitude,luz,gas1,gas2,gas3,Air,humidade,temp,poeira
Domingo-26/9/2020  12:00:00,24.63,72322.25,2755,0,8,0,0,26,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:01,29.29,93684.98,656,80,1,0,0,25,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:03,29.34,93691.74,656,80,3,0,0,24,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:05,29.35,93690.21,656,80,3,0,0,25,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:06,29.36,93692.05,656,82,2,0,0,25,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:08,29.37,93693.13,656,83,2,0,0,24,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:10,29.39,93693.32,656,15,1,0,0,23,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:11,29.38,93692.24,656,79,3,0,0,24,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:13,29.40,93690.02,656,82,4,0,0,24,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:15,29.41,93690.07,656,83,3,0,0,24,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:17,29.42,93691.67,656,82,3,0,0,25,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:18,29.43,93689.22,656,82,2,0,0,26,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:20,29.45,93690.97,656,83,2,0,0,23,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:22,29.44,93686.61,656,82,3,0,0,24,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:23,29.45,93688.74,656,82,3,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:25,29.46,93687.58,656,82,4,0,0,22,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:27,29.47,93692.66,656,83,4,0,0,24,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:29,29.45,93685.64,656,83,2,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:30,29.47,93691.85,656,79,5,0,0,25,50.00,Temp: ,0.62
Domingo-26/9/2020  12:00:32,29.49,93690.49,656,82,4,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:34,29.50,93690.07,656,83,2,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:35,29.50,93687.39,656,83,3,0,0,24,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:37,29.50,93689.50,656,83,4,0,0,24,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:39,29.50,93692.82,656,83,3,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:41,29.50,93689.89,656,80,4,0,0,24,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:42,29.52,93691.28,656,80,4,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:44,29.53,93688.58,656,45,4,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:46,29.54,93691.64,656,80,3,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:48,29.57,93687.04,656,83,3,0,0,26,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:49,29.57,93690.03,656,83,3,0,0,25,49.00,Temp: ,-1
Domingo-26/9/2020  12:00:51,29.58,93685.78,656,82,3,0,0,24,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:53,29.57,93688.87,656,82,4,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:54,29.59,93685.71,656,82,5,0,0,26,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:56,29.61,93688.13,656,83,5,0,0,26,50.00,Temp: ,-1
Domingo-26/9/2020  12:00:58,29.63,93690.73,656,82,4,0,0,23,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:00,29.66,93690.02,656,15,4,0,3,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:01,29.67,93688.86,656,56,5,0,0,25,49.00,Temp: ,0.62
Domingo-26/9/2020  12:01:03,29.68,93691.75,656,77,5,0,0,25,49.00,Temp: ,-1
Domingo-26/9/2020  12:01:05,29.70,93691.55,656,77,5,0,0,27,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:06,29.70,93690.22,656,77,3,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:08,29.71,93693.73,656,35,4,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:10,29.75,93693.80,656,77,4,0,0,17,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:12,29.77,93688.99,656,78,5,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:13,29.79,93691.07,656,75,6,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:15,29.80,93686.52,656,77,5,0,0,25,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:17,29.82,93685.62,656,28,3,0,0,24,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:18,29.83,93687.10,656,21,0,0,0,24,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:20,29.83,93691.05,656,20,8,0,1,26,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:22,29.85,93688.67,656,9,1,0,0,24,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:24,29.84,93689.96,656,56,5,0,0,25,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:25,29.88,93690.27,656,31,4,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:01:27,29.89,93693.29,656,54,1,0,0,17,49.00,Temp: ,-1
Domingo-26/9/2020  12:01:29,29.90,93690.32,656,53,2,0,0,24,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:30,29.89,93684.73,656,18,5,0,0,26,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:32,29.95,93689.10,656,78,5,0,0,27,50.00,Temp: ,0.62
Domingo-26/9/2020  12:01:34,29.97,93691.84,656,80,2,0,0,26,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:36,29.97,93693.56,656,80,3,0,0,26,49.00,Temp: ,-1
Domingo-26/9/2020  12:01:37,29.98,93685.03,656,80,0,0,0,24,49.00,Temp: ,-1
Domingo-26/9/2020  12:01:39,30.01,93688.63,656,80,3,0,0,27,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:41,30.04,93687.49,656,79,0,0,0,25,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:42,30.07,93688.14,656,79,0,0,0,24,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:44,30.10,93689.38,656,79,0,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:46,30.13,93692.75,656,79,0,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:48,30.16,93695.53,655,77,0,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:49,30.17,93690.07,656,76,0,0,0,25,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:51,30.20,93688.83,656,29,0,0,0,27,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:53,30.24,93690.15,656,70,0,0,0,27,50.00,Temp: ,-1
