tempo, temp  ,pressao,altitude,luz,gas1,gas2,gas3,Air,umidade,temp,poeira
Terça-29/9/2020  12:00:00,24.63,72322.25,2755,0,0,0,0,30,53.00,Temp: ,-1
Terça-29/9/2020  12:00:01,29.86,93850.08,642,49,0,0,0,30,53.00,Temp: ,-1
Terça-29/9/2020  12:00:03,29.89,93849.63,642,45,0,0,0,29,53.00,Temp: ,-1
Terça-29/9/2020  12:00:05,29.92,93851.83,642,44,1,0,0,29,53.00,Temp: ,-1
Terça-29/9/2020  12:00:06,29.93,93848.83,642,45,0,0,0,29,53.00,Temp: ,-1
Terça-29/9/2020  12:00:08,29.95,93854.06,641,47,0,0,0,30,53.00,Temp: ,-1
Terça-29/9/2020  12:00:10,29.96,93850.88,642,47,1,0,0,29,53.00,Temp: ,-1
Terça-29/9/2020  12:00:11,29.99,93852.68,642,49,1,0,0,29,53.00,Temp: ,-1
Terça-29/9/2020  12:00:13,30.00,93850.88,642,47,1,0,0,30,53.00,Temp: ,-1
Terça-29/9/2020  12:00:15,30.00,93850.41,642,47,2,0,0,29,53.00,Temp: ,-1
Terça-29/9/2020  12:00:17,30.02,93848.14,642,44,1,0,0,31,53.00,Temp: ,-1
Terça-29/9/2020  12:00:18,30.05,93850.83,642,41,0,0,0,30,53.00,Temp: ,-1
Terça-29/9/2020  12:00:20,30.07,93848.83,642,49,0,0,0,30,53.00,Temp: ,-1
Terça-29/9/2020  12:00:22,30.08,93848.88,642,46,0,0,0,31,53.00,Temp: ,-1
Terça-29/9/2020  12:00:23,30.10,93851.62,642,47,0,0,0,30,54.00,Temp: ,-1
Terça-29/9/2020  12:00:25,30.12,93852.54,642,47,0,0,0,30,54.00,Temp: ,-1
Terça-29/9/2020  12:00:27,30.14,93852.34,642,47,0,0,0,30,54.00,Temp: ,-1
Terça-29/9/2020  12:00:29,30.14,93856.39,641,48,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:30,30.16,93851.24,642,49,0,0,0,31,54.00,Temp: ,0.62
Terça-29/9/2020  12:00:32,30.18,93852.93,642,45,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:34,30.19,93847.39,642,42,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:35,30.21,93851.14,642,59,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:37,30.23,93853.42,642,52,0,0,0,32,54.00,Temp: ,-1
Terça-29/9/2020  12:00:39,30.25,93853.25,642,53,0,0,0,32,54.00,Temp: ,-1
Terça-29/9/2020  12:00:41,30.29,93852.08,642,49,0,0,0,30,54.00,Temp: ,-1
Terça-29/9/2020  12:00:42,30.32,93854.60,642,50,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:44,30.32,93856.83,641,43,0,0,0,30,54.00,Temp: ,-1
Terça-29/9/2020  12:00:46,30.34,93851.33,642,49,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:48,30.36,93852.01,642,49,0,0,0,32,54.00,Temp: ,-1
Terça-29/9/2020  12:00:49,30.39,93855.05,641,39,0,0,0,32,54.00,Temp: ,-1
Terça-29/9/2020  12:00:51,30.40,93851.39,642,35,0,0,0,32,54.00,Temp: ,-1
Terça-29/9/2020  12:00:53,30.42,93852.57,642,35,0,0,0,32,54.00,Temp: ,-1
Terça-29/9/2020  12:00:54,30.41,93852.30,642,35,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:56,30.43,93846.66,642,40,0,0,0,31,54.00,Temp: ,-1
Terça-29/9/2020  12:00:58,30.47,93853.23,642,40,0,0,0,32,53.00,Temp: ,-1
Terça-29/9/2020  12:01:00,30.47,93848.96,642,50,0,0,0,32,53.00,Temp: ,-1
Terça-29/9/2020  12:01:01,30.51,93853.78,641,58,0,0,0,33,53.00,Temp: ,0.62
Terça-29/9/2020  12:01:03,30.52,93848.14,642,45,0,0,0,32,53.00,Temp: ,-1
Terça-29/9/2020  12:01:05,30.54,93849.53,642,330,0,0,0,32,53.00,Temp: ,-1
Terça-29/9/2020  12:01:06,30.60,93855.15,641,2124,0,0,0,32,53.00,Temp: ,-1
Terça-29/9/2020  12:01:08,30.62,93850.85,642,2379,0,0,0,31,53.00,Temp: ,-1
Terça-29/9/2020  12:01:10,30.67,93853.72,641,3164,0,0,0,30,53.00,Temp: ,-1
Terça-29/9/2020  12:01:12,30.72,93850.91,642,4095,0,0,0,33,53.00,Temp: ,-1
Terça-29/9/2020  12:01:13,30.82,93856.14,641,4314,0,0,0,32,53.00,Temp: ,-1
Terça-29/9/2020  12:01:15,30.88,93862.87,641,5724,0,0,0,32,53.00,Temp: ,-1
Terça-29/9/2020  12:01:17,31.02,93860.52,641,3890,0,0,0,31,53.00,Temp: ,-1
Terça-29/9/2020  12:01:18,31.15,93859.64,641,4063,0,0,0,33,53.00,Temp: ,-1
Terça-29/9/2020  12:01:20,31.25,93861.93,641,9306,0,0,0,33,53.00,Temp: ,-1
Terça-29/9/2020  12:01:22,31.34,93860.71,641,12487,0,0,0,33,53.00,Temp: ,-1
Terça-29/9/2020  12:01:24,31.39,93868.38,640,11077,0,0,0,31,53.00,Temp: ,-1
Terça-29/9/2020  12:01:25,31.53,93908.11,637,54612,0,0,0,33,52.00,Temp: ,-1
Terça-29/9/2020  12:01:27,31.94,93905.53,637,54612,0,0,0,33,52.00,Temp: ,-1
Terça-29/9/2020  12:01:29,32.26,93907.50,637,54612,0,0,0,32,52.00,Temp: ,-1
Terça-29/9/2020  12:01:30,32.60,93908.52,637,54612,0,0,0,33,52.00,Temp: ,-1
Terça-29/9/2020  12:01:32,32.91,93898.13,638,54612,0,0,0,32,52.00,Temp: ,0.62
Terça-29/9/2020  12:01:34,33.25,93872.67,640,54612,0,0,0,34,52.00,Temp: ,-1
Terça-29/9/2020  12:01:36,33.53,93901.99,637,54612,0,0,0,34,52.00,Temp: ,-1
Terça-29/9/2020  12:01:37,33.81,93898.72,637,54612,0,0,0,34,52.00,Temp: ,-1
Terça-29/9/2020  12:01:39,34.15,93900.24,637,54612,0,0,0,33,52.00,Temp: ,-1
Terça-29/9/2020  12:01:41,34.41,93899.88,637,54612,0,0,0,35,52.00,Temp: ,-1
Terça-29/9/2020  12:01:42,34.69,93899.83,637,54612,0,0,0,34,50.00,Temp: ,-1
Terça-29/9/2020  12:01:44,34.99,93903.02,637,54612,0,0,0,35,50.00,Temp: ,-1
Terça-29/9/2020  12:01:46,35.23,93894.24,638,54612,0,0,0,35,50.00,Temp: ,-1
Terça-29/9/2020  12:01:48,35.52,93897.28,638,54612,0,0,0,35,50.00,Temp: ,-1
Terça-29/9/2020  12:01:49,35.79,93895.28,638,54612,0,0,0,35,49.00,Temp: ,-1
Terça-29/9/2020  12:01:51,36.01,93891.35,638,54612,0,0,0,34,49.00,Temp: ,-1
Terça-29/9/2020  12:01:53,36.25,93890.13,638,54612,0,0,0,35,48.00,Temp: ,-1
Terça-29/9/2020  12:01:54,36.42,93889.39,638,54612,0,0,0,35,48.00,Temp: ,-1
Terça-29/9/2020  12:01:56,36.67,93891.86,638,54612,0,0,0,35,47.00,Temp: ,-1
Terça-29/9/2020  12:01:58,36.87,93894.68,638,54612,0,0,0,35,47.00,Temp: ,-1
Terça-29/9/2020  12:02:00,37.06,93892.83,638,54612,0,0,0,35,46.00,Temp: ,-1
Terça-29/9/2020  12:02:01,37.22,93895.71,638,54612,0,0,0,34,46.00,Temp: ,-1
Terça-29/9/2020  12:02:03,37.41,93887.90,638,54612,0,0,0,36,45.00,Temp: ,0.62
Terça-29/9/2020  12:02:05,37.56,93884.72,639,54612,0,0,0,35,45.00,Temp: ,-1
Terça-29/9/2020  12:02:06,37.70,93882.87,639,54612,0,0,0,35,44.00,Temp: ,-1
Terça-29/9/2020  12:02:08,37.90,93888.37,638,54612,0,0,0,36,44.00,Temp: ,-1
Terça-29/9/2020  12:02:10,38.05,93889.88,638,54612,0,0,0,35,43.00,Temp: ,-1
Terça-29/9/2020  12:02:12,38.25,93881.57,639,54612,0,0,0,37,43.00,Temp: ,-1
Terça-29/9/2020  12:02:13,38.15,93846.60,642,14104,0,0,0,36,42.00,Temp: ,-1
Terça-29/9/2020  12:02:15,38.02,93851.00,642,14764,0,0,0,36,42.00,Temp: ,-1
Terça-29/9/2020  12:02:17,38.21,93888.61,638,54612,0,0,0,34,41.00,Temp: ,-1
Terça-29/9/2020  12:02:19,38.45,93885.25,639,54612,0,0,0,35,41.00,Temp: ,-1
Terça-29/9/2020  12:02:20,38.57,93891.42,638,54612,0,0,0,35,41.00,Temp: ,-1
Terça-29/9/2020  12:02:22,38.74,93888.19,638,54612,0,0,0,36,41.00,Temp: ,-1
Terça-29/9/2020  12:02:24,38.86,93887.33,639,54612,0,0,0,36,41.00,Temp: ,-1
Terça-29/9/2020  12:02:25,39.09,93886.64,639,54612,0,0,0,36,41.00,Temp: ,-1
Terça-29/9/2020  12:02:27,39.32,93890.46,638,54612,0,0,0,36,40.00,Temp: ,-1
Terça-29/9/2020  12:02:29,39.52,93887.49,638,54612,0,0,0,37,40.00,Temp: ,-1
Terça-29/9/2020  12:02:30,39.69,93884.44,639,54612,0,0,0,36,40.00,Temp: ,-1
