tempo,temp,pressao,altitude,luz,gas1,gas2,gas3,Air,humidade,temp,poeira
Segunda-27/9/2020  12:00:00,24.63,72322.25,2755,0,72,0,0,65,36.00,Temp: ,-1
Segunda-27/9/2020  12:00:01,32.38,93221.35,698,89,22,0,0,65,36.00,Temp: ,-1
Segunda-27/9/2020  12:00:02,32.41,93224.82,697,89,21,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:04,32.47,93227.25,697,88,19,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:05,32.49,93222.56,698,87,20,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:07,32.49,93219.41,698,90,22,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:08,32.52,93221.75,698,95,21,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:10,32.53,93220.97,698,17,21,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:12,32.56,93223.10,697,16,21,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:13,32.57,93223.69,697,16,22,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:15,32.59,93221.07,698,16,22,0,0,65,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:17,32.63,93220.82,698,15,19,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:19,32.65,93219.07,698,15,20,0,0,64,33.00,Temp: ,-1
Segunda-27/9/2020  12:00:20,32.68,93219.96,698,15,20,0,0,64,33.00,Temp: ,-1
Segunda-27/9/2020  12:00:22,32.68,93215.84,698,15,22,0,0,64,33.00,Temp: ,-1
Segunda-27/9/2020  12:00:24,32.71,93220.90,698,16,20,0,0,64,33.00,Temp: ,-1
Segunda-27/9/2020  12:00:25,32.73,93218.32,698,16,21,0,0,64,33.00,Temp: ,-1
Segunda-27/9/2020  12:00:27,32.74,93224.07,697,16,21,0,0,64,33.00,Temp: ,-1
Segunda-27/9/2020  12:00:29,32.77,93219.45,698,16,21,0,0,64,33.00,Temp: ,-1
Segunda-27/9/2020  12:00:31,32.82,93219.78,698,16,20,0,0,64,33.00,Temp: ,71.71
Segunda-27/9/2020  12:00:32,32.80,93222.27,698,16,20,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:34,32.83,93219.17,698,16,21,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:36,32.86,93222.37,698,16,21,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:37,32.88,93219.71,698,16,20,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:39,32.91,93220.08,698,16,20,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:41,32.91,93218.69,698,16,21,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:43,32.95,93221.00,698,16,21,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:44,32.94,93213.83,698,16,22,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:46,32.98,93218.45,698,16,21,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:48,33.00,93214.79,698,16,21,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:49,33.02,93214.59,698,16,21,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:51,33.08,93224.52,697,16,21,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:53,33.05,93213.39,698,16,20,0,0,64,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:55,33.09,93220.61,698,16,21,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:56,33.10,93219.99,698,16,19,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:00:58,33.12,93218.24,698,16,19,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:01:00,33.13,93214.64,698,16,19,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:01:01,33.18,93221.10,698,17,21,0,0,63,34.00,Temp: ,0.62
Segunda-27/9/2020  12:01:03,33.17,93214.76,698,16,20,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:01:05,33.17,93210.44,699,16,19,0,0,63,34.00,Temp: ,-1
Segunda-27/9/2020  12:01:07,33.21,93215.57,698,16,21,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:08,33.21,93213.01,698,16,21,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:10,33.25,93214.82,698,16,20,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:12,33.28,93217.28,698,16,19,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:13,33.32,93218.41,698,16,21,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:15,33.32,93214.16,698,16,20,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:17,33.35,93216.25,698,16,20,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:19,33.37,93214.14,698,16,21,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:20,33.37,93210.89,699,16,21,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:22,33.40,93214.71,698,15,20,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:24,33.43,93218.55,698,16,21,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:25,33.45,93221.50,698,15,20,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:27,33.46,93220.02,698,15,19,0,0,63,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:29,33.47,93216.24,698,15,19,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:31,33.46,93215.34,698,15,19,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:32,33.49,93219.15,698,15,20,0,0,62,33.00,Temp: ,0.62
Segunda-27/9/2020  12:01:34,33.52,93219.58,698,15,21,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:36,33.53,93220.55,698,15,19,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:37,33.53,93213.24,698,16,20,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:39,33.56,93216.24,698,16,18,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:41,33.61,93219.67,698,16,21,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:43,33.63,93217.77,698,16,20,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:44,33.64,93216.46,698,16,19,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:46,33.67,93214.73,698,16,20,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:48,33.70,93220.14,698,16,19,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:49,33.72,93212.11,698,16,19,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:51,33.71,93212.39,698,16,20,0,0,62,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:53,33.70,93218.41,698,17,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:55,33.70,93212.00,698,17,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:56,33.70,93211.62,699,17,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:01:58,33.74,93211.60,699,17,19,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:00,33.73,93209.66,699,17,19,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:01,33.75,93207.72,699,17,21,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:03,33.79,93206.41,699,17,20,0,0,61,32.00,Temp: ,0.62
Segunda-27/9/2020  12:02:05,33.80,93210.46,699,17,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:07,33.81,93208.63,699,17,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:08,33.84,93214.00,698,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:10,33.83,93212.89,698,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:12,33.84,93209.36,699,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:13,33.84,93204.82,699,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:15,33.90,93211.89,698,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:17,33.91,93211.78,699,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:19,33.94,93210.07,699,18,19,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:20,33.94,93209.23,699,18,18,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:22,33.94,93208.50,699,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:24,33.96,93203.44,699,18,19,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:25,33.95,93206.67,699,18,20,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:27,33.96,93210.89,699,18,19,0,0,61,32.00,Temp: ,-1
Segunda-27/9/2020  12:02:29,33.96,93204.66,699,18,18,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:31,34.00,93210.82,699,18,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:32,34.00,93206.35,699,18,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:34,34.04,93207.82,699,18,18,0,0,61,33.00,Temp: ,0.62
Segunda-27/9/2020  12:02:36,34.05,93205.63,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:37,34.09,93211.63,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:39,34.12,93211.66,699,19,18,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:41,34.12,93212.35,698,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:43,34.13,93210.17,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:44,34.12,93209.75,699,19,18,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:46,34.15,93210.32,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:48,34.14,93209.75,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:49,34.16,93209.34,699,19,18,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:51,34.21,93211.74,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:53,34.20,93206.47,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:55,34.23,93211.21,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:56,34.26,93209.86,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:02:58,34.28,93213.08,698,19,21,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:00,34.29,93210.93,698,19,19,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:01,34.29,93213.36,698,19,20,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:03,34.32,93213.19,698,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:05,34.33,93206.50,699,19,19,0,0,61,33.00,Temp: ,0.62
Segunda-27/9/2020  12:03:07,34.32,93206.99,699,19,20,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:08,34.34,93206.91,699,19,18,0,0,61,34.00,Temp: ,-1
Segunda-27/9/2020  12:03:10,34.37,93210.78,699,19,18,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:12,34.39,93210.58,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:13,34.40,93209.08,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:15,34.42,93205.96,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:17,34.45,93215.82,698,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:19,34.40,93207.17,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:20,34.41,93207.07,699,19,19,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:22,34.41,93208.46,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:24,34.42,93210.25,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:26,34.42,93206.10,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:27,34.43,93206.38,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:29,34.47,93209.01,699,19,20,0,0,61,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:31,34.50,93208.52,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:32,34.52,93207.16,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:34,34.53,93210.00,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:36,34.53,93206.71,699,19,18,0,0,60,33.00,Temp: ,0.62
Segunda-27/9/2020  12:03:38,34.56,93212.42,698,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:39,34.54,93209.38,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:41,34.60,93215.27,698,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:43,34.58,93207.89,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:44,34.62,93208.12,699,19,19,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:46,34.61,93201.50,699,19,20,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:48,34.65,93203.46,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:50,34.65,93210.09,699,19,18,0,0,60,33.00,Temp: ,-1
Segunda-27/9/2020  12:03:51,34.68,93208.73,699,19,18,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:53,34.70,93206.75,699,19,19,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:55,34.73,93211.99,698,19,19,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:56,34.76,93208.72,699,19,17,0,0,60,32.00,Temp: ,-1
Segunda-27/9/2020  12:03:58,34.78,93209.89,699,19,18,0,0,60,32.00,Temp: ,-1
